timestamp_utc,pod,cpu_percent,memory_mib
2026-07-04T16:43:40.352Z,jenkins-process,3.4,593.45
2026-07-04T16:43:41.135Z,jenkins-process,3.4,593.45
2026-07-04T16:43:41.963Z,jenkins-process,3.4,593.45
2026-07-04T16:43:42.780Z,jenkins-process,3.4,593.45
2026-07-04T16:43:43.669Z,jenkins-process,3.4,593.45
2026-07-04T16:43:44.543Z,jenkins-process,3.4,593.45
2026-07-04T16:43:45.336Z,jenkins-process,3.4,593.45
2026-07-04T16:43:46.058Z,jenkins-process,3.4,593.45
2026-07-04T16:43:46.862Z,jenkins-process,3.4,593.45
2026-07-04T16:43:47.681Z,jenkins-process,3.4,593.45
2026-07-04T16:43:48.432Z,jenkins-process,3.4,593.45
2026-07-04T16:43:49.223Z,jenkins-process,3.4,593.45
2026-07-04T16:43:50.092Z,jenkins-process,3.4,593.45
2026-07-04T16:43:50.986Z,jenkins-process,3.4,593.45
2026-07-04T16:43:51.854Z,jenkins-process,3.4,593.45
2026-07-04T16:43:52.621Z,jenkins-process,3.4,593.45
2026-07-04T16:43:53.400Z,jenkins-process,3.4,593.45
2026-07-04T16:43:54.280Z,jenkins-process,3.4,593.45
2026-07-04T16:43:55.175Z,jenkins-process,3.4,593.45
2026-07-04T16:43:56.057Z,jenkins-process,3.4,593.45
2026-07-04T16:43:56.839Z,jenkins-process,3.4,593.45
2026-07-04T16:43:57.620Z,jenkins-process,3.4,593.45
2026-07-04T16:43:58.480Z,jenkins-process,3.4,593.45
2026-07-04T16:43:59.353Z,jenkins-process,3.4,593.45
2026-07-04T16:44:00.079Z,jenkins-process,3.4,593.45
2026-07-04T16:44:00.930Z,jenkins-process,3.4,593.45
2026-07-04T16:44:01.735Z,jenkins-process,3.4,593.45
2026-07-04T16:44:02.560Z,jenkins-process,3.4,593.45
2026-07-04T16:44:03.434Z,jenkins-process,3.4,593.45
2026-07-04T16:44:04.213Z,jenkins-process,3.4,593.45
2026-07-04T16:44:04.977Z,jenkins-process,3.4,593.45
2026-07-04T16:44:05.904Z,jenkins-process,3.4,593.45
2026-07-04T16:44:06.885Z,jenkins-process,3.4,593.45
2026-07-04T16:44:08.120Z,jenkins-process,3.4,593.45
2026-07-04T16:44:09.023Z,jenkins-process,3.4,593.45
2026-07-04T16:44:09.891Z,jenkins-process,3.4,593.45
2026-07-04T16:44:10.826Z,jenkins-process,3.4,593.45
2026-07-04T16:44:11.752Z,jenkins-process,3.4,593.45
2026-07-04T16:44:12.566Z,jenkins-process,3.4,593.45
2026-07-04T16:44:13.368Z,jenkins-process,3.4,593.45
2026-07-04T16:44:14.291Z,jenkins-process,3.4,593.45
2026-07-04T16:44:15.162Z,jenkins-process,3.4,593.45
2026-07-04T16:44:15.997Z,jenkins-process,3.4,593.48
2026-07-04T16:44:16.791Z,jenkins-process,3.4,593.48
2026-07-04T16:44:17.538Z,jenkins-process,3.4,593.48
2026-07-04T16:44:18.447Z,jenkins-process,3.4,593.50
2026-07-04T16:44:19.310Z,jenkins-process,3.4,593.50
2026-07-04T16:44:20.230Z,jenkins-process,3.4,593.50
2026-07-04T16:44:21.207Z,jenkins-process,3.4,593.40
2026-07-04T16:44:21.895Z,jenkins-process,3.4,593.40
2026-07-04T16:44:22.634Z,jenkins-process,3.4,593.40
2026-07-04T16:44:23.504Z,jenkins-process,3.4,593.40
2026-07-04T16:44:24.335Z,jenkins-process,3.4,594.07
2026-07-04T16:44:25.145Z,jenkins-process,3.4,597.16
2026-07-04T16:44:25.910Z,jenkins-process,3.4,597.43
2026-07-04T16:44:26.791Z,jenkins-process,3.4,597.64
2026-07-04T16:44:27.693Z,jenkins-process,3.4,598.70
2026-07-04T16:44:28.510Z,jenkins-process,3.4,598.83
2026-07-04T16:44:29.262Z,jenkins-process,3.4,598.98
2026-07-04T16:44:29.979Z,jenkins-process,3.4,599.26
2026-07-04T16:44:30.785Z,jenkins-process,3.4,599.26
2026-07-04T16:44:31.504Z,jenkins-process,3.4,599.28
2026-07-04T16:44:32.209Z,jenkins-process,3.4,599.28
2026-07-04T16:44:33.041Z,jenkins-process,3.4,599.28
2026-07-04T16:44:33.918Z,jenkins-process,3.4,599.29
2026-07-04T16:44:34.595Z,jenkins-process,3.4,599.32
2026-07-04T16:44:35.350Z,jenkins-process,3.4,599.32
2026-07-04T16:44:36.190Z,jenkins-process,3.4,599.32
2026-07-04T16:44:36.988Z,jenkins-process,3.4,599.32
2026-07-04T16:44:37.763Z,jenkins-process,3.4,599.32
2026-07-04T16:44:38.520Z,jenkins-process,3.4,599.32
2026-07-04T16:44:39.394Z,jenkins-process,3.4,600.68
2026-07-04T16:44:40.263Z,jenkins-process,3.4,601.24
2026-07-04T16:44:41.118Z,jenkins-process,3.4,601.38
2026-07-04T16:44:41.918Z,jenkins-process,3.4,601.59
2026-07-04T16:44:42.683Z,jenkins-process,3.4,601.78
2026-07-04T16:44:43.496Z,jenkins-process,3.4,601.92
2026-07-04T16:44:44.295Z,jenkins-process,3.4,601.94
2026-07-04T16:44:45.037Z,jenkins-process,3.4,602.09
2026-07-04T16:44:45.792Z,jenkins-process,3.4,602.09
2026-07-04T16:44:46.642Z,jenkins-process,3.4,602.09
2026-07-04T16:44:47.503Z,jenkins-process,3.4,602.09
2026-07-04T16:44:48.292Z,jenkins-process,3.4,602.09
2026-07-04T16:44:49.038Z,jenkins-process,3.4,602.09
2026-07-04T16:44:49.810Z,jenkins-process,3.4,602.09
2026-07-04T16:44:50.660Z,jenkins-process,3.4,602.09
2026-07-04T16:44:51.368Z,jenkins-process,3.4,602.09
2026-07-04T16:44:52.108Z,jenkins-process,3.4,602.09
2026-07-04T16:44:52.876Z,jenkins-process,3.4,602.17
2026-07-04T16:44:53.712Z,jenkins-process,3.4,602.17
2026-07-04T16:44:54.496Z,jenkins-process,3.4,602.17
2026-07-04T16:44:55.225Z,jenkins-process,3.4,602.17
2026-07-04T16:44:56.016Z,jenkins-process,3.4,602.17
2026-07-04T16:44:56.868Z,jenkins-process,3.4,602.17
2026-07-04T16:44:57.542Z,jenkins-process,3.4,602.17
2026-07-04T16:44:58.259Z,jenkins-process,3.4,602.20
2026-07-04T16:44:59.065Z,jenkins-process,3.4,602.20
2026-07-04T16:44:59.965Z,jenkins-process,3.4,608.18
2026-07-04T16:45:00.700Z,jenkins-process,3.4,608.26
2026-07-04T16:45:01.422Z,jenkins-process,3.4,608.30
2026-07-04T16:45:02.285Z,jenkins-process,3.4,608.39
2026-07-04T16:45:03.115Z,jenkins-process,3.4,608.40
2026-07-04T16:45:03.848Z,jenkins-process,3.4,608.40
2026-07-04T16:45:04.586Z,jenkins-process,3.4,608.40
2026-07-04T16:45:05.406Z,jenkins-process,3.4,608.41
2026-07-04T16:45:06.090Z,jenkins-process,3.4,608.41
2026-07-04T16:45:06.833Z,jenkins-process,3.4,608.41
2026-07-04T16:45:07.739Z,jenkins-process,3.4,608.41
2026-07-04T16:45:08.878Z,jenkins-process,3.4,608.43
2026-07-04T16:45:09.701Z,jenkins-process,3.4,608.48
2026-07-04T16:45:10.493Z,jenkins-process,3.4,608.48
2026-07-04T16:45:11.243Z,jenkins-process,3.4,608.48
2026-07-04T16:45:11.992Z,jenkins-process,3.4,608.48
2026-07-04T16:45:12.748Z,jenkins-process,3.4,608.48
2026-07-04T16:45:13.594Z,jenkins-process,3.4,608.48
2026-07-04T16:45:14.282Z,jenkins-process,3.4,608.48
2026-07-04T16:45:15.033Z,jenkins-process,3.4,608.48
2026-07-04T16:45:15.886Z,jenkins-process,3.4,608.48
2026-07-04T16:45:16.736Z,jenkins-process,3.4,608.48
2026-07-04T16:45:17.563Z,jenkins-process,3.4,608.48
2026-07-04T16:45:18.335Z,jenkins-process,3.4,608.48
2026-07-04T16:45:19.149Z,jenkins-process,3.4,608.48
2026-07-04T16:45:19.920Z,jenkins-process,3.4,608.48
2026-07-04T16:45:20.674Z,jenkins-process,3.4,608.48
2026-07-04T16:45:21.409Z,jenkins-process,3.4,608.41
2026-07-04T16:45:22.210Z,jenkins-process,3.4,608.41
2026-07-04T16:45:23.048Z,jenkins-process,3.4,608.41
2026-07-04T16:45:23.750Z,jenkins-process,3.4,608.41
2026-07-04T16:45:24.540Z,jenkins-process,3.4,608.75
2026-07-04T16:45:25.374Z,jenkins-process,3.5,608.77
2026-07-04T16:45:26.226Z,jenkins-process,3.5,608.78
2026-07-04T16:45:26.931Z,jenkins-process,3.5,608.78
2026-07-04T16:45:27.650Z,jenkins-process,3.5,608.78
2026-07-04T16:45:28.446Z,jenkins-process,3.5,608.78
2026-07-04T16:45:29.189Z,jenkins-process,3.5,608.78
2026-07-04T16:45:29.935Z,jenkins-process,3.5,608.79
2026-07-04T16:45:30.762Z,jenkins-process,3.5,608.79
2026-07-04T16:45:31.596Z,jenkins-process,3.5,608.79
2026-07-04T16:45:32.282Z,jenkins-process,3.5,608.79
2026-07-04T16:45:33.027Z,jenkins-process,3.5,608.79
2026-07-04T16:45:33.863Z,jenkins-process,3.5,608.79
2026-07-04T16:45:34.737Z,jenkins-process,3.5,608.79
2026-07-04T16:45:35.477Z,jenkins-process,3.5,608.79
2026-07-04T16:45:36.210Z,jenkins-process,3.5,608.79
2026-07-04T16:45:37.052Z,jenkins-process,3.5,608.79
2026-07-04T16:45:37.892Z,jenkins-process,3.5,608.79
2026-07-04T16:45:38.644Z,jenkins-process,3.5,608.79
2026-07-04T16:45:39.372Z,jenkins-process,3.5,608.87
2026-07-04T16:45:40.208Z,jenkins-process,3.5,610.78
2026-07-04T16:45:41.018Z,jenkins-process,3.5,610.78
2026-07-04T16:45:41.919Z,jenkins-process,3.5,610.78
2026-07-04T16:45:42.687Z,jenkins-process,3.5,610.72
2026-07-04T16:45:43.403Z,jenkins-process,3.5,610.71
2026-07-04T16:45:44.199Z,jenkins-process,3.5,610.71
2026-07-04T16:45:45.095Z,jenkins-process,3.5,610.72
2026-07-04T16:45:45.844Z,jenkins-process,3.5,610.72
2026-07-04T16:45:46.552Z,jenkins-process,3.5,610.72
2026-07-04T16:45:47.492Z,jenkins-process,3.5,610.72
2026-07-04T16:45:48.351Z,jenkins-process,3.5,610.72
2026-07-04T16:45:49.254Z,jenkins-process,3.5,610.72
2026-07-04T16:45:49.964Z,jenkins-process,3.5,610.72
2026-07-04T16:45:50.699Z,jenkins-process,3.5,610.72
2026-07-04T16:45:51.554Z,jenkins-process,3.5,610.72
2026-07-04T16:45:52.462Z,jenkins-process,3.5,610.72
2026-07-04T16:45:53.201Z,jenkins-process,3.5,610.72
2026-07-04T16:45:54.014Z,jenkins-process,3.5,610.72
2026-07-04T16:45:54.905Z,jenkins-process,3.5,610.72
2026-07-04T16:45:55.761Z,jenkins-process,3.5,610.72
2026-07-04T16:45:56.643Z,jenkins-process,3.5,610.73
2026-07-04T16:45:57.421Z,jenkins-process,3.5,610.73
2026-07-04T16:45:58.210Z,jenkins-process,3.5,610.73
2026-07-04T16:45:59.039Z,jenkins-process,3.5,610.73
2026-07-04T16:45:59.888Z,jenkins-process,3.5,610.96
2026-07-04T16:46:00.665Z,jenkins-process,3.5,610.96
2026-07-04T16:46:01.430Z,jenkins-process,3.5,610.96
2026-07-04T16:46:02.217Z,jenkins-process,3.5,610.96
2026-07-04T16:46:03.032Z,jenkins-process,3.5,610.96
2026-07-04T16:46:03.770Z,jenkins-process,3.5,610.96
2026-07-04T16:46:04.502Z,jenkins-process,3.5,611.01
2026-07-04T16:46:05.415Z,jenkins-process,3.5,611.01
2026-07-04T16:46:06.237Z,jenkins-process,3.5,611.01
2026-07-04T16:46:06.967Z,jenkins-process,3.5,611.01
2026-07-04T16:46:07.747Z,jenkins-process,3.5,611.01
2026-07-04T16:46:08.497Z,jenkins-process,3.5,611.01
2026-07-04T16:46:09.621Z,jenkins-process,3.5,611.01
2026-07-04T16:46:10.411Z,jenkins-process,3.5,611.01
2026-07-04T16:46:11.089Z,jenkins-process,3.5,611.01
2026-07-04T16:46:11.786Z,jenkins-process,3.5,611.01
2026-07-04T16:46:12.582Z,jenkins-process,3.5,611.01
2026-07-04T16:46:13.414Z,jenkins-process,3.5,611.01
2026-07-04T16:46:14.139Z,jenkins-process,3.5,611.01
2026-07-04T16:46:14.899Z,jenkins-process,3.5,611.01
2026-07-04T16:46:15.722Z,jenkins-process,3.5,611.02
2026-07-04T16:46:16.543Z,jenkins-process,3.5,611.03
2026-07-04T16:46:17.302Z,jenkins-process,3.5,611.03
2026-07-04T16:46:18.044Z,jenkins-process,3.5,611.03
2026-07-04T16:46:18.818Z,jenkins-process,3.5,611.03
2026-07-04T16:46:19.653Z,jenkins-process,3.5,611.20
2026-07-04T16:46:20.413Z,jenkins-process,3.5,611.20
2026-07-04T16:46:21.178Z,jenkins-process,3.5,611.20
2026-07-04T16:46:21.942Z,jenkins-process,3.5,611.13
2026-07-04T16:46:22.696Z,jenkins-process,3.5,611.13
2026-07-04T16:46:23.411Z,jenkins-process,3.5,611.13
2026-07-04T16:46:24.311Z,jenkins-process,3.5,611.13
2026-07-04T16:46:25.196Z,jenkins-process,3.5,610.96
2026-07-04T16:46:26.007Z,jenkins-process,3.5,610.96
2026-07-04T16:46:26.786Z,jenkins-process,3.5,610.96
2026-07-04T16:46:27.462Z,jenkins-process,3.5,610.96
2026-07-04T16:46:28.214Z,jenkins-process,3.5,610.90
