timestamp_utc,scenario,pod,cpu_millicores,memory_mib
2026-04-24T08:02:27Z,combined,argocd-application-controller-0,3m,161Mi
2026-04-24T08:02:27Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:27Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:27Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:27Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:27Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:27Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:28Z,combined,argocd-application-controller-0,3m,161Mi
2026-04-24T08:02:28Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:28Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:28Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:28Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:28Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:28Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:29Z,combined,argocd-application-controller-0,3m,161Mi
2026-04-24T08:02:29Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:29Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:29Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:29Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:29Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:29Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:30Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:30Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:30Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:30Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:30Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:30Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:30Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:31Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:31Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:31Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:31Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:31Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:31Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:31Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:32Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:32Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:32Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:32Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:32Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:32Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:32Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:33Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:33Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:33Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:33Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:33Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:33Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:33Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
